colecao	est_docs	ano_amostra	tem_muni	pistas	variavel_amostra
1000	42709	2016	sim		Área plantada
1001	24729	2016	sim		Área plantada
1002	155324	2016	sim		Área plantada
1003	7315	2007	sim		Escrituras de separação
1004	20907	2007	sim		Escrituras de divórcio
1005	5547	2006	sim		Número de estabelecimentos agropecuários com eletrodomésticos
1006	3978	2006	sim		Número de estabelecimentos agropecuários com produção animal integrada à indústria
1008	5471	2006	sim		Número de estabelecimentos agropecuários com uso de agrotóxico
1009	5471	2006	sim		Número de estabelecimentos agropecuários com uso de agrotóxico
1010	4958	2006	sim		Número de estabelecimentos agropecuários com tratamento de esterco de animais
1011	11086	2006	sim		Número de estabelecimentos agropecuários
1012	5546	2006	sim		Número de estabelecimentos agropecuários com recursos hídricos
1013	11086	2006	sim		Número de estabelecimentos agropecuários
1014	11086	2006	sim		Número de estabelecimentos agropecuários
1015	11086	2006	sim		Número de estabelecimentos agropecuários
1016	11086	2006	sim		Número de estabelecimentos agropecuários
1017	11086	2006	sim		Número de estabelecimentos agropecuários
1018	5545	2006	sim		Número de estabelecimentos agropecuários com produtor proprietário, concessionário ou assentado sem titulação definitiva
1019	5545	2006	sim		Número de estabelecimentos agropecuários com produtor proprietário, concessionário ou assentado sem titulação definitiva
102	38955	2010	sim		Mulheres de 10 anos ou mais de idade que viviam em união conjugal
1020	5548	2006	sim		Produtores na direção dos trabalhos nos estabelecimentos agropecuários
1021	5548	2006	sim		Produtores na direção dos trabalhos nos estabelecimentos agropecuários
1022	5548	2006	sim		Pessoas que dirigem os estabelecimentos agropecuários
1023	5564	2008	sim		Municípios que possuem instrumento legal regulador do serviço de esgotamento sanitário
1024	16692	2008	sim		Municípios com serviço de esgotamento sanitário
1025	13826	2006	sim		Número de estabelecimentos agropecuários com mais de 50 cabeças de bovinos
1026	16692	2008	sim		Municípios que possuem órgão municipal gestor do serviço de esgotamento sanitário
1027	5564	2008	sim		Municípios com serviço de manejo de águas pluviais
1028	16692	2008	sim		Municípios que possuem instrumento legal regulador do serviço de manejo de águas pluviais
1029	16692	2008	sim		Municípios com manejo de águas pluviais
103	16695	2010	sim		Mulheres de 10 anos ou mais de idade que viviam em união conjugal e tiveram filhos nascidos vivos
1031	72410	1975	sim		Área dos estabelecimentos agropecuários
1036	5564	2008	sim		Municípios com manejo de águas pluviais
105	5565	2010	sim		Filhos tidos nascidos vivos pelas mulheres de 10 anos ou mais de idade que viviam em união conjugal
107	5565	2010	sim		Mulheres de 10 anos ou mais de idade que tiveram filhos nascidos vivos
108	38955	2010	sim	Populacao	Mulheres de 10 anos ou mais de idade residentes em domicílios particulares, exceto as cuja condição no domicílio era pensionista, empregada doméstica ou parente do(a) empregado(a) doméstico(a)
1097	44211	2006	sim		Número de estabelecimentos agropecuários que produziram leite de vaca
1098	11086	2006	sim		Número de estabelecimentos agropecuários
1099	11086	2006	sim		Número de estabelecimentos agropecuários
1100	120		sim		INPC - Variação mensal
1101	5548	2006	sim		Número de estabelecimentos agropecuários
1106	60	1989	sim		Superfície dos areais
1109	11086	2006	sim		Número de estabelecimentos agropecuários
1110	5545	2006	sim		Número de estabelecimentos agropecuários com produtor proprietário, concessionário ou assentado sem titulação definitiva
1111	5548	2006	sim		Produtores na direção dos trabalhos nos estabelecimentos agropecuários
1112	11086	2006	sim		Número de estabelecimentos agropecuários
1113	11096	2006	sim	Empresas / ocupacao	Pessoal ocupado em estabelecimentos agropecuários em 31/12
1114	11096	2006	sim	Empresas / ocupacao	Pessoal ocupado em estabelecimentos agropecuários em 31/12 com laço de parentesco com o produtor
1115	5533	2006	sim		Número de estabelecimentos agropecuários em que o produtor declarou ter atividade fora do estabelecimento no ano
1116	11083	2006	sim		Número de estabelecimentos agropecuários que obtiveram receitas no ano
1117	10670	2006	sim		Número de estabelecimentos agropecuários que obtiveram outras receitas no ano
1118	11084	2006	sim		Número de estabelecimentos agropecuários com produção
1119	5548	2006	sim		Número de estabelecimentos que não obtiveram financiamento
1120	5472	2006	sim		Número de estabelecimentos agropecuários que obtiveram financiamento
1144	30	1998	sim		Área total dos municípios componentes dos núcleos de desertificação na Região Nordeste
1161	5565	2010	sim		Domicílios particulares permanentes
1177	36201	2006	sim		Valor da produção dos estabelecimentos agropecuários com mais de 50 pés existentes em 31/12
1178	9470	2006	sim		Número de pés existentes nos estabelecimentos agropecuários com até 50 pés existentes em 31/12
1179	31194	2006	sim		Valor da produção dos estabelecimentos agropecuários com mais de 50 pés existentes em 31/12
1181	37098	2006	sim		Valor da produção dos estabelecimentos agropecuários com mais de 50 pés existentes em 31/12
1206	5565	2010	sim		Pessoas de 10 anos ou mais de idade
1211	11130	2010	sim		Domicílios particulares permanentes
1224	11051	2006	sim		Número de estabelecimentos agropecuários com bovinos
1225	16425	2006	sim		Número de estabelecimentos agropecuários com suínos
1226	21775	2006	sim		Número de estabelecimentos agropecuários com galinhas, galos, frangas, frangos e pintos
1227	10742	2006	sim		Quantidade produzida
1228	5564	2008	sim		Municípios com manejo de águas pluviais
1229	5564	2008	sim		Municípios que possuem órgão municipal gestor do serviço de manejo de águas pluviais
1230	5564	2008	sim		Municípios com serviço de manejo de resíduos sólidos
1231	5564	2008	sim		Municípios que possuem órgão municipal gestor do serviço de manejo de resíduos sólidos
1232	5564	2008	sim		Municípios com serviço de manejo de resíduos sólidos
1233	5564	2008	sim		Municípios que exercem controle sobre o manejo de resíduos especiais realizado por terceiros
1234	5564	2008	sim		Municípios com manejo de residuos sólidos
1235	2324	2008	sim		Número de catadores de lixo na zona urbana
1236	5564	2008	sim		Municípios com manejo de residuos sólidos
1237	5564	2008	sim		Municípios com manejo de residuos sólidos com participação de catadores nas ações de coleta seletiva
1238	11071	2000	sim		Municípios com algum serviço de saneamento básico
