Ano;Mun_Cod;Município;Governança para o Desenvolvimento;Educação Empreendedora
2023;2500106;Água Branca;0,34571838;0
2023;2500205;Aguiar;0,465538567;0
2023;2500304;Alagoa Grande;0,461317779;0
2023;2500403;Alagoa Nova;0,436306941;0
2023;2500502;Alagoinha;0,223540311;0
2023;2500536;Alcantil;0,223425776;0
2023;2500577;Algodão de Jandaíra;0,212417098;0
2023;2500601;Alhandra;0,264616463;0
2023;2500700;São João do Rio do Peixe;0,552355691;0
2023;2500734;Amparo;0,262010089;0
2023;2500775;Aparecida;0,462544239;0
2023;2500809;Araçagi;0,230261518;0
2023;2500908;Arara;0,061286552;0
2023;2501005;Araruna;0,271049053;0
2023;2501104;Areia;0,235415995;0
2023;2501153;Areia de Baraúnas;0,201187553;0
2023;2501203;Areial;0,249238434;0
2023;2501302;Aroeiras;0,243117407;0
2023;2501351;Assunção;0,34213672;0
2023;2501401;Baía da Traição;0,317464118;0
2023;2501500;Bananeiras;0,531468979;0
2023;2501534;Baraúna;0,260117576;0
2023;2501575;Barra de Santana;0,267988919;0
2023;2501609;Barra de Santa Rosa;0,288535864;0
2023;2501708;Barra de São Miguel;0,37596231;0
2023;2501807;Bayeux;0,416262856;0
2023;2501906;Belém;0,303603471;0
2023;2502003;Belém do Brejo do Cruz;0,400114437;0
2023;2502052;Bernardino Batista;0,532785224;0
2023;2502102;Boa Ventura;0,30286704;0
2023;2502151;Boa Vista;0,262580862;0
2023;2502201;Bom Jesus;0,468350288;0
2023;2502300;Bom Sucesso;0,359558213;0
2023;2502409;Bonito de Santa Fé;0,233872368;0
2023;2502508;Boqueirão;0,480742349;0
2023;2502607;Igaracy;0,350099287;0
2023;2502706;Borborema;0,251188528;0
2023;2502805;Brejo do Cruz;0,384823035;0
2023;2502904;Brejo dos Santos;0,442321419;0
2023;2503001;Caaporã;0,264944611;0
2023;2503100;Cabaceiras;0,448122098;0
2023;2503209;Cabedelo;0,509872625;0
2023;2503308;Cachoeira dos Índios;0,499885496;0
2023;2503407;Cacimba de Areia;0,290331464;0
2023;2503506;Cacimba de Dentro;0,191790996;0
