Indicador;Fonte;João Pessoa;Campina Grande;Queimadas;Conde;Caaporã;Pitimbu;Monteiro;Cabaceiras
"Índice CFA de Governança Municipal – IGM
(Finanças, gestão e desempenho) – 2025";CFA / IGM;6,54;6,8;7,18;4,34;4,92;5,5;6,77;5,8
IDH-M – 2021;PNUD / Atlas Brasil;0,763;0,72;0,608;0,618;0,602;0,57;0,628;0,611
"Governança para o Desenvolvimento – ISDEL – 2023
(Dimensão/Subdimensão Governança)";Sebrae MG / ISDEL;0,436;0,438;0,358;0,351;0,241;0,228;0,301;0,27
Índice de Gestão Municipal Áquila (IGMA);Aquila;58,24;57.52;48,3;45,62;44,58;37,35;50,84;47,24
"Tempo médio de viabilidade da empresa (h)
– em relação à média do estado";Mapa de Empresas / Gov.br;9h;12h;20h;1d3h;1d11h;1d12h;19h;13h
"Tempo médio de abertura da empresa (h)
– em relação à média do estado";Mapa de Empresas / Gov.br;11h;15h;1dia;1d7h;1d16h;1d17h;21h;14h
Ranking Municipal Redesim / PB;Redesim / PB;851;979;562;511;617;631;1075;835
Tempo de licenciamento;Dado Sebrae UF;;;;;;;;
Trabalhadores nas ocupações de C&T;RAIS / MTE;;;;;;;;
Trabalhadores nos setores da economia criativa, inovação e TIC;RAIS / MTE;;;;;;;;
"Taxa de crescimento de MPE formalizadas nos ELI,
com apoio do Sebrae e/ou parceiros";Dado Sebrae UF;;;;;;;;
"Taxa de crescimento do valor das compras públicas
de inovação nos pequenos negócios";CatalISA Gov / Sebrae;;;;;;;;
Subdimensão Educação Empreendedora do ISDEL – 2023;Sebrae MG / ISDEL;0,012;0;0;0;0;0;0,007;0
Trabalhadores formais com pelo menos Ensino Médio Completo;Observatório do Trabalho / MTE;;;;;;;;
Trabalhadores formais com pelo menos Ensino Superior Completo;Observatório do Trabalho / MTE;34%;22,90%;18,20%;21,50%;14,60%;25,20%;29,60%;27,70%
"Valor (R$) das operações de crédito e de financiamento
concedidos no município";Banco Central do Brasil;;;;;;;;
"Valor (R$) total de operações contratadas pelo BNDES na UF
(direto e indireto não automático)";BNDES / Transparência;;;;;;;;
